t	v
3952.0	J30
3956.0	J30
3960.0	J30
3964.0	J30
3968.0	J30
3972.0	J30
3976.0	J30
3980.0	J30
3984.0	J30
3988.0	J30
3992.0	J30
3996.0	J30
4000.0	J30
4004.0	J30
4008.0	J30
4012.0	J30
4016.0	J30
4020.0	J30
4024.0	J30
4028.0	J30
4032.0	J30
4036.0	J30
4040.0	J30
4044.0	J30
4048.0	J30
4052.0	J30
4056.0	J30
4060.0	J30
4064.0	J30
4068.0	J30
4072.0	J30
4076.0	J30
4080.0	J30
4084.0	J30
4088.0	J30
4092.0	J30
4096.0	J30
4100.0	J30
4104.0	J30
4108.0	J30
4112.0	J30
4116.0	J30
4120.0	J30
4124.0	J30
4128.0	J30
4132.0	J30
4136.0	J30
4140.0	J30
4144.0	J30
4148.0	J30
4152.0	J30
4156.0	J30
4160.0	J30
4164.0	J30
4168.0	J30
4172.0	J30
4176.0	J30
4180.0	J30
4184.0	J30
4188.0	J30
4192.0	J30
4196.0	J30
4200.0	J30
4204.0	J30
4208.0	J30
4212.0	J30
4216.0	J30
4220.0	J30
4224.0	J30
4228.0	J30
4232.0	J30
4236.0	J30
4240.0	J30
4244.0	J30
4248.0	J30
4252.0	J30
4256.0	J30
4260.0	J30
4264.0	J30
4268.0	J30
4272.0	J30
4276.0	J30
4280.0	J30
4284.0	J30
4288.0	J30
4292.0	J30
4296.0	J30
4300.0	J30
4304.0	J30
4308.0	J30
4312.0	J30
4316.0	J30
4320.0	J30
4324.0	J30
4328.0	J30
4332.0	J30
4336.0	J30
4340.0	J30
4344.0	J30
4348.0	J30
4352.0	J30
4356.0	J30
4360.0	J30
4364.0	J30
4368.0	J30
4372.0	J30
4376.0	J30
4380.0	J30
4384.0	J30
4388.0	J30
4392.0	J30
4396.0	J30
4400.0	J30
4404.0	J30
4408.0	J30
4412.0	J30
4416.0	J30
4420.0	J30
4424.0	J30
4428.0	J30
4432.0	J30
4436.0	J30
4440.0	J30
4444.0	J30
4448.0	J30
4452.0	J30
4456.0	J30
4460.0	J30
4464.0	J30
4468.0	J30
4472.0	J30
4476.0	J30
4480.0	J30
4484.0	J30
4488.0	J30
4492.0	J30
4496.0	J30
4500.0	J30
4504.0	J30
4508.0	J30
4512.0	J30
4516.0	J30
4520.0	J30
4524.0	J30
4528.0	J30
4532.0	J30
4536.0	J30
4540.0	J30
4544.0	J30
4548.0	J30
4552.0	J30
4556.0	J30
4560.0	J30
4564.0	J30
4568.0	J30
4572.0	J30
4576.0	J30
4580.0	J30
4584.0	J30
4588.0	J30
4592.0	J30
4596.0	J30
4600.0	J30
4604.0	J30
4608.0	J30
4612.0	J30
4616.0	J30
4620.0	J30
4624.0	J30
4628.0	J30
4632.0	J30
4636.0	J30
4640.0	J30
4644.0	J30
4648.0	J30
4652.0	J30
4656.0	J30
4660.0	J30
4664.0	J30
4668.0	J30
4672.0	J30
4676.0	J30
4680.0	J30
4684.0	J30
4688.0	J30
4692.0	J30
4696.0	J30
4700.0	J30
4704.0	J30
4708.0	J30
4712.0	J30
4716.0	J30
4720.0	J30
4724.0	J30
4728.0	J30
4732.0	J30
4736.0	J30
4740.0	J30
4744.0	J30
4748.0	J30
4752.0	J30
4756.0	J30
4760.0	J30
4764.0	J30
4768.0	J30
4772.0	J30
4776.0	J30
4780.0	J30
4784.0	J30
4788.0	J30
4792.0	J30
4796.0	J30
4800.0	J30
4804.0	J30
4808.0	J30
4812.0	J30
4816.0	J30
4820.0	J30
4824.0	J30
4828.0	J30
4832.0	J30
4836.0	J30
4840.0	J30
4844.0	J30
4848.0	J30
4852.0	J30
4856.0	J30
4860.0	J30
4864.0	J30
4868.0	J30
4872.0	J30
4876.0	J30
4880.0	J30
4884.0	J30
4888.0	J30
4892.0	J30
4896.0	J30
4900.0	J30
4904.0	J30
4908.0	J30
4912.0	J30
4916.0	J30
4920.0	J30
4924.0	J30
4928.0	J30
4932.0	J30
4936.0	J30
4940.0	J30
4944.0	J30
4948.0	J30
4952.0	J30
4956.0	J30
4960.0	J30
4964.0	J30
4968.0	J30
4972.0	J30
4976.0	J30
4980.0	J30
4984.0	J30
4988.0	J30
4992.0	J30
4996.0	J30
5000.0	J30
5004.0	J30
5008.0	J30
5012.0	J30
5016.0	J30
5020.0	J30
5024.0	J30
5028.0	J30
5032.0	J30
5036.0	J30
5040.0	J30
5044.0	J30
5048.0	J30
5052.0	J30
5056.0	J30
5060.0	J30
5064.0	J30
5068.0	J30
5072.0	J30
5076.0	J30
5080.0	J30
5084.0	J30
5088.0	J30
5092.0	J30
5096.0	J30
5100.0	J30
5104.0	J30
5108.0	J30
5112.0	J30
5116.0	J30
5120.0	J30
5124.0	J30
5128.0	J30
5132.0	J30
5136.0	J30
5140.0	J30
5144.0	J30
5148.0	J30
5152.0	J30
5156.0	J30
5160.0	J30
5164.0	J30
5168.0	J30
5172.0	J30
5176.0	J30
5180.0	J30
5184.0	J30
5188.0	J30
5192.0	J30
5196.0	J30
5200.0	J30
5204.0	J30
5208.0	J30
5212.0	J30
5216.0	J30
5220.0	J30
5224.0	J30
5228.0	J30
5232.0	J30
5236.0	J30
5240.0	J30
5244.0	J30
5248.0	J30
5252.0	J30
5256.0	J30
5260.0	J30
5264.0	J30
5268.0	J30
5272.0	J30
5276.0	J30
5280.0	J30
5284.0	J30
5288.0	J30
5292.0	J30
5296.0	J30
5300.0	J30
5304.0	J30
5308.0	J30
5312.0	J30
5316.0	J30
5320.0	J30
5324.0	J30
5328.0	J30
5332.0	J30
5336.0	J30
5340.0	J30
5344.0	J30
5348.0	J30
5352.0	J30
5356.0	J30
5360.0	J30
5364.0	J30
5368.0	J30
5372.0	J30
5376.0	J30
5380.0	J30
5384.0	J30
5388.0	J30
5392.0	J30
5396.0	J30
5400.0	J30
5404.0	J30
5408.0	J30
5412.0	J30
5416.0	J30
5420.0	J30
5424.0	J30
5428.0	J30
5432.0	J30
5436.0	J30
5440.0	J30
5444.0	J30
5448.0	J30
5452.0	J30
5456.0	J30
5460.0	J30
5464.0	J30
5468.0	J30
5472.0	J30
5476.0	J30
5480.0	J30
5484.0	J30
5488.0	J30
5492.0	J30
5496.0	J30
5500.0	J30
5504.0	J30
5508.0	J30
5512.0	J30
5516.0	J30
5520.0	J30
5524.0	J30
5528.0	J30
5532.0	J30
5536.0	J30
5540.0	J30
5544.0	J30
5548.0	J30
5552.0	J30
5556.0	J30
5560.0	J30
5564.0	J30
5568.0	J30
5572.0	J30
5576.0	J30
5580.0	J30
5584.0	J30
5588.0	J30
5592.0	J30
5596.0	J30
5600.0	J30
5604.0	J30
5608.0	J30
5612.0	J30
5616.0	J30
5620.0	J30
5624.0	J30
5628.0	J30
5632.0	J30
5636.0	J30
5640.0	J30
5644.0	J30
5648.0	J30
5652.0	J30
5656.0	J30
5660.0	J30
5664.0	J30
5668.0	J30
5672.0	J30
5676.0	J30
5680.0	J30
5684.0	J30
5688.0	J30
5692.0	J30
5696.0	J30
5700.0	J30
5704.0	J30
5708.0	J30
5712.0	J30
5716.0	J30
5720.0	J30
5724.0	J30
5728.0	J30
5732.0	J30
5736.0	J30
5740.0	J30
5744.0	J30
5748.0	J30
5752.0	J30
5756.0	J30
5760.0	J30
5764.0	J30
5768.0	J30
5772.0	J30
5776.0	J30
5780.0	J30
5784.0	J30
5788.0	J30
5792.0	J30
5796.0	J30
5800.0	J30
5804.0	J30
5808.0	J30
5812.0	J30
5816.0	J30
5820.0	J30
5824.0	J30
5828.0	J30
5832.0	J30
5836.0	J30
5840.0	J30
5844.0	J30
5848.0	J30
5852.0	J30
5856.0	J30
5860.0	J30
5864.0	J30
5868.0	J30
5872.0	J30
5876.0	J30
5880.0	J30
5884.0	J30
5888.0	J30
5892.0	J30
5896.0	J30
5900.0	J30
5904.0	J30
5908.0	J30
5912.0	J30
5916.0	J30
5920.0	J30
5924.0	J30
5928.0	J30
5932.0	J30
5936.0	J30
5940.0	J30
5944.0	J30
5948.0	J30
5952.0	J30
5956.0	J30
5960.0	J30
5964.0	J30
5968.0	J30
5972.0	J30
5976.0	J30
5980.0	J30
5984.0	J30
5988.0	J30
5992.0	J30
5996.0	J30
6000.0	J30
6004.0	J30
6008.0	J30
6012.0	J30
6016.0	J30
6020.0	J30
6024.0	J30
6028.0	J30
6032.0	J30
6036.0	J30
6040.0	J30
6044.0	J30
6048.0	J30
6052.0	J30
6056.0	J30
6060.0	J30
6064.0	J30
6068.0	J30
6072.0	J30
6076.0	J30
6080.0	J30
6084.0	J30
6088.0	J30
6092.0	J30
6096.0	J30
6100.0	J30
6104.0	J30
6108.0	J30
6112.0	J30
6116.0	J30
6120.0	J30
6124.0	J30
6128.0	J30
6132.0	J30
6136.0	J30
6140.0	J30
6144.0	J30
6148.0	J30
6152.0	J30
6156.0	J30
6160.0	J30
6164.0	J30
6168.0	J30
6172.0	J30
6176.0	J30
6180.0	J30
6184.0	J30
6188.0	J30
6192.0	J30
6196.0	J30
6200.0	J30
6204.0	J30
6208.0	J30
6212.0	J30
6216.0	J30
6220.0	J30
6224.0	J30
6228.0	J30
6232.0	J30
6236.0	J30
6240.0	J30
6244.0	J30
6248.0	J30
6252.0	J30
6256.0	J30
6260.0	J30
6264.0	J30
6268.0	J30
6272.0	J30
6276.0	J30
6280.0	J30
6284.0	J30
6288.0	J30
6292.0	J30
6296.0	J30
6300.0	J30
6304.0	J30
6308.0	J30
6312.0	J30
6316.0	J30
6320.0	J30
6324.0	J30
6328.0	J30
6332.0	J30
6336.0	J30
6340.0	J30
6344.0	J30
6348.0	J30
6352.0	J30
6356.0	J30
6360.0	J30
6364.0	J30
6368.0	J30
6372.0	J30
6376.0	J30
6380.0	J30
6384.0	J30
6388.0	J30
6392.0	J30
6396.0	J30
6400.0	J30
6404.0	J30
6408.0	J30
6412.0	J30
6416.0	J30
6420.0	J30
6424.0	J30
6428.0	J30
6432.0	J30
6436.0	J30
6440.0	J30
6444.0	J30
6448.0	J30
6452.0	J30
6456.0	J30
6460.0	J30
6464.0	J30
6468.0	J30
6472.0	J30
6476.0	J30
6480.0	J30
6484.0	J30
6488.0	J30
6492.0	J30
6496.0	J30
6500.0	J30
6504.0	J30
6508.0	J30
6512.0	J30
6516.0	J30
6520.0	J30
6524.0	J30
6528.0	J30
6532.0	J30
6536.0	J30
6540.0	J30
6544.0	J30
6548.0	J30
6552.0	J30
6556.0	J30
6560.0	J30
6564.0	J30
6568.0	J30
6572.0	J30
6576.0	J30
6580.0	J30
6584.0	J30
6588.0	J30
6592.0	J30
6596.0	J30
6600.0	J30
6604.0	J30
6608.0	J30
6612.0	J30
6616.0	J30
6620.0	J30
6624.0	J30
6628.0	J30
6632.0	J30
6636.0	J30
6640.0	J30
6644.0	J30
6648.0	J30
6652.0	J30
6656.0	J30
6660.0	J30
6664.0	J30
6668.0	J30
6672.0	J30
6676.0	J30
6680.0	J30
6684.0	J30
6688.0	J30
6692.0	J30
6696.0	J30
6700.0	J30
6704.0	J30
6708.0	J30
6712.0	J30
6716.0	J30
6720.0	J30
6724.0	J30
6728.0	J30
6732.0	J30
6736.0	J30
6740.0	J30
6744.0	J30
6748.0	J30
6752.0	J30
6756.0	J30
6760.0	J30
6764.0	J30
6768.0	J30
6772.0	J30
6776.0	J30
6780.0	J30
6784.0	J30
6788.0	J30
6792.0	J30
6796.0	J30
6800.0	J30
6804.0	J30
6808.0	J30
6812.0	J30
6816.0	J30
6820.0	J30
6824.0	J30
6828.0	J30
6832.0	J30
6836.0	J30
6840.0	J30
6844.0	J30
6848.0	J30
6852.0	J30
6856.0	J30
6860.0	J30
6864.0	J30
6868.0	J30
6872.0	J30
6876.0	J30
6880.0	J30
6884.0	J30
6888.0	J30
6892.0	J30
6896.0	J30
6900.0	J30
6904.0	J30
6908.0	J30
6912.0	J30
6916.0	J30
6920.0	J30
6924.0	J30
6928.0	J30
6932.0	J30
6936.0	J30
6940.0	J30
6944.0	J30
6948.0	J30
6952.0	J30
6956.0	J30
6960.0	J30
6964.0	J30
6968.0	J30
6972.0	J30
6976.0	J30
6980.0	J30
6984.0	J30
6988.0	J30
6992.0	J30
6996.0	J30
7000.0	J30
7004.0	J30
7008.0	J30
7012.0	J30
7016.0	J30
7020.0	J30
7024.0	J30
7028.0	J30
7032.0	J30
7036.0	J30
7040.0	J30
7044.0	J30
7048.0	J30
7052.0	J30
7056.0	J30
7060.0	J30
7064.0	J30
7068.0	J30
7072.0	J30
7076.0	J30
7080.0	J30
7084.0	J30
7088.0	J30
7092.0	J30
7096.0	J30
7100.0	J30
7104.0	J30
7108.0	J30
7112.0	J30
